ID,Nome,Telem�vel,Refer�ncia,Fam�lia de,Nacionalidade,Pedidos,Notas,Telemovel,Referencia
285,Jeremiah Morissette,558197479449,"Filha t�mara ",2,Brasileiros,,,+12845499807,Erma Huel
286,Miguel Romaguera,963569768,amigo,5,"Uruguai ",,,+13323437085,Vicki Emard MD
287,Santiago Muller,931810163,amigo,3,Peru,,menino 1,+14152149478,Franklin Kovacek
288,Fannie Schowalter,939439229,bebraga(wathsapp),2,brasileira,,,+18355236887,Brenda Lebsack
289,Wilbur Cole,938172668,"Carla associa��o ",3,Brasileira,,,+19553578076,Dr. Dave Bradtke
290,Rita Marvin,937099327,Sandra VAP,3,Brasileira,,beb� janeiro,+19636705912,Maureen Kemmer-Senger IV
291,Evelyn Dickinson,933062122,Amiga,2,"Portugu�s ",,,+12825779782,Cecilia Connelly
292,Misty Greenfelder,912217547,colega amigo,1,"portugu�s ",,mora na rua,+18662934073,Dr. Sophia Witting
293,Kelly Hoppe PhD,931134620,esposa,3,brasileira,,boy 12,+15537196593,Mr. Bill Stokes
294,Miss Glenda Mann IV,912380823,Alberto Sampaio/Farhad,3,Columbiano,,,+18135293819,Scott Wilderman
295,Delia Monahan,910765493,Palmira,1,"Portugu�s ",,,+15168517369,Levi McKenzie
296,Marilyn Mills,937385445,Amiga,1,"Brasileiro ",,,+19207023219,Dewey Emmerich
297,Alexandra Shanahan,914251480,amiga,1,colombiana,,,+15712399150,Bill Breitenberg
298,Sheldon Lynch,930617357,doutora Joana,3,"portuguesa ",,,+14734345408,Florence Steuber
299,Wilma Willms,935514638,Dra Paula SegSoc,,,,,+12266035358,Allan Cummings
300,Mr. Dewey Jast,932801372,"Alberto Sampaio ",7,Br�s./Columbia.,,,+16347466845,Ms. Norma Purdy-D'Amore
301,Garrett Zboncak,920164871,amigos,2,"Guin� ",,gravida,+12395993686,Lula Hills
302,Mr. Wayne Donnelly-Lindgren,925210520,,3,"B�lgaro ",,roupa bebe,+16865614044,Victor Flatley
303,Christie Blanda,913786381,VAP,4,Mexicana,meninos 5 e 8,,+14117817577,Saul Russel-Littel
304,Miss Miriam O'Kon,934709987,VaP   K37,3,,,Boys 2,+16757658340,Yvonne Jakubowski
305,Meghan VonRueden,934669566,Farhad,,,,,+12526030076,Jo Wolf
306,Dr. Lionel Mante,932533981,"Facebook ",2,columbiano,,,+17252885399,Patsy Toy
307,Leticia Jaskolski,,VaP,,,,,+13626764738,Minnie Price
308,Casey Kessler,964181124,VaP - K68,6,,,,+15342220716,Samuel Braun
309,Kellie Reinger,923934170,Amiga Ladi,1,Columbiana,,,+14593886076,Andy Konopelski
310,Kenneth Kuhn,933656067,Jaqueline K74,,,,,+12382458564,Bert Hammes
311,Shelley Bosco,926546350,,5,"Brasileiro ",,,+13679318502,Clayton Weimann
312,Ken Hermiston,912752924,prima,1,portuguesa,,,+18764715792,Kelli Connelly
313,Benny Reilly,965234390,Amiga,3,Colombianos,,,+19172766413,Raymond Frami
314,Boyd Leannon Sr.,,"Prima ",1,"Portuguesa ",,,+18588398730,Eugene Steuber I
315,Brent Mante II,914745964,Cigana,,,Carrinho 7m e 2,Avisados,+19018537534,Clay Lakin
316,Pearl Buckridge,969299206,"D. Adriana ",1,"brasileira ",,,+13147025721,Sergio Tillman V
317,Myrtle Corkery,962350725,Advogado Lu�s Miguel,5,Colombiana,,,+19887255867,Alonzo Blick
318,Leslie Miller,912516452,amiga,3,brasileira,,,+15662957300,Shelly Glover
319,Dale Pollich,965173482,T�nia,2,Brasileiros,,,+16739800700,Wilbur Ankunding
320,Mae Lind,,Colegas,"Centro ",Portuguesa,,,+19039622231,Julian Heaney
321,Marcos Renner,,guarda shopping,1,Portuguesa,,,+14666950857,Mr. Cesar Roberts
322,Ernesto Bruen,938472134,junta,,portuguesa,,,+18378035098,Raymond Bogisich
323,Andre Von,912193239,Amiga,3,Portuguesa,,Baby Girl Boys 5 and 7,+12173673696,Ms. Joanne Wuckert
324,Troy Fahey IV,915204461,,,,,,+13018558289,Kelly McLaughlin Sr.
325,Nicole Hudson,935020263,amiga,4,Portuguesa,,,+17295861947,Vivian Dibbert
326,Rose Morar,938733157,"amiga ",2,Portuguesa,,,+12914226064,Joann Nicolas
327,Andrew Runte,912030598,"Farhad ",3,americana,,,+16649345182,Luz White-Funk
328,Elbert Fritsch,,Cigana  - amiga,,,"Carrinho 7m mesa cadeira ",Avisados,+15014514425,Dana Von PhD
329,Julio Ward,915204461,amigo,,,,,+12646361268,Beverly Jenkins
330,Kristin Kuhic,936799706,Amigo,3,Brasileiros,girl 5,,+16137400893,Eunice VonRueden
331,Damon Steuber PhD,812244887,Filha,6,Portuguesa,,Crian�a 5,+18347482893,Lorene Cormier
332,Darryl Berge,936799704,,,,,,+17124264052,Mrs. Ida Donnelly
333,Alice Wehner,933914520,"Colega trabalho ",4,"Brasileira ",,,+14492944268,Lucy Towne
334,Lillian Berge,9235965588,Amiga,1,Columbiano,,,+19713624468,Linda Gutmann PhD
335,Delia Kling PhD,913868452,Claudina,4,Brasileiro,,,+17352042028,Mrs. Cecilia Bartell
336,Bennie Medhurst III,911785048,Wiliane,,,,,+12637169081,Earnest Heller MD
337,Sandra Dach Sr.,916380344,amigo,1,Colombiano,,,+16109617241,Virginia Murazik
338,Kim DuBuque,912482475,amiga,2,"brasileira ",,,+12195697990,Adam Rath
339,Wade Wilkinson,910279915,amiga indiana,4,Hong  Kong,,,+19312774245,Pete Gleason
340,Ken Kirlin,964493294,,,,,,+15279657566,Dr. Mamie Adams
341,Miranda Lesch,961559892,Amiga,4,Brasileira,,Boys 5 e 2,+18803800936,Cindy Johnston
342,Dr. Ricky Kris,934848386,Alberto Sampaio,,,,,+14894355048,Shawn Durgan Sr.
343,Carrie Schmitt,926955079,Junta S�o Lazaro,,,,,+17518948631,Bobbie Kertzmann
344,Eric Swift,915471459,Carla - Hostel,,,,,+13559344076,Evan Zboncak III
345,Marcos Anderson,964918499,Amiga,2,Brasileiros,,,+15203030097,Corey Homenick
346,Mrs. Grace Hermiston-Morissette,920412783,prof.,3,Nepal,,menina 9 meses,+15639375686,Dr. Toby Mayert V
347,Abraham Dicki,910763940,,7,Congolesa,,,+18739824163,John Stamm
348,Alfred Langosh,937151699,Junta S�o Lazaro,,,,,+14315303356,Carol Bins
349,Steven Powlowski,ts4)d4,,,,,,+19568888912,Angie Buckridge
350,Drew Runolfsson-Padberg Jr.,936405741,Prima,5,,,,+14936143612,Dexter Sauer
351,Raquel Doyle,,"Irm� ",2,"Brasileiro ",,,+16074165912,Ruby Kovacek
352,Mr. Abraham Witting,,VaP,,,,,+12407980081,Joanna O'Connell
353,Dr. Leslie Aufderhar,933736327,chat ucranian,,Ucraniana,,,+17785442990,Mr. Devin Macejkovic
354,Hector Denesik,932272674,Amigas,4,Colombiana,,,+14546637363,Judy Osinski
355,Jeffery Borer-Lueilwitz,931421216,amiga,4,Brasileiro,meninas de 3 e 6,,+18175977169,Sally Lebsack
356,Mr. Orville O'Kon,935338646,,,Ucraniana,,,+15546180340,Jose Willms
357,Cheryl Block,0968�042�273,Farhad/Colega VaP,4,Argentinos,,,+16144476926,Angelo Bruen
358,Eleanor Balistreri-Stark,913624368,"Facebook ",2,Brasileira,,,+14727905606,Nick Considine Jr.
359,Cesar Ebert,913634727,Sandra,3,Brasileiros Pitt,,,+14687108415,Clyde Greenholt
360,Natalie Morissette,916381179,Volunt�ria,4,peruana,,,+14177911624,Timothy Spinka
361,Beth Bayer,920231914,freguesia,6,,,,+14959008660,Vicki Dach
362,Andres Runolfsdottir,920378054,amigo,4,Nepal,menina 7,,+13398295814,Matthew Heidenreich
363,Crystal Schmitt,927507476,Centro comerci,3,Portuguesa,,Girls 5 e 8,+19198543444,Paul Nienow
364,Morris Leuschke,0962629505,,,"Ucranianos ",,,+16895822442,Dr. Doreen Schowalter
365,Dr. Adrienne Strosin,938833502,,,Ucraniana,,,+19019086018,Shelia Raynor
366,Brendan Hamill,351933146064,Farhad - Ucraniana,2,Ucraniana,Calcas de tamnho 32-33 para filha,,+18817995329,Joel Koss
367,Pat Reilly,920038329,"Trabalha no shopping ",1,Portuguesa,,,+15717796748,Orlando Bosco DVM
368,Malcolm Cartwright,964562272,amigos,2,Brasileira,,,+17515836947,Felicia Hoppe
369,Mona Bogisich MD,910836183,Colega,2,Brasileiro,,,+15423070339,Dexter Cormier
370,Faye Mayer,911915294,"Farhad ",3,americana,,,+14986585712,Dr. Pete Monahan
371,Mr. Emilio Bergnaum,912585700,amiga,,angolana,,,+14444832089,Lora Zboncak-Dietrich
372,Roosevelt Upton,,Colega,1,Portuguesa,,,+12947122128,Edith Sawayn
373,Sheila Trantow,920520304,Amiga,4,Nepal,,Boy 1 Girl 11,+12859350120,Phil Nitzsche DDS
374,Betsy Deckow Jr.,934080958,prof Rita Maximinos,5,argilinos,,Avisados,+17955903010,Mr. Jamie Gerhold DVM
375,Mr. Arthur Bahringer,939170260,Amigo,3,Brasileira,,,+12118066373,Melinda Paucek
376,Wilson Gislason DDS,,Jaquiline,2,Brasileira,,,+15097156003,Veronica Daniel
377,Kara Abbott III,,Facebook,4,"Portugu�s ",,,+18976597918,Johanna Bogan
378,Mr. Derrick Kub,937907650,Net,3,"Brasileira ",colch�o de solteiro e casal,,+12594266695,Elias Bailey PhD
379,Gladys Reynolds,967640837,amigos,1,Columbiano,,,+17369271311,Violet Hamill
380,Melissa Tillman,933154951,"Colega d trabalho ",1,Brasileira,,,+14923351289,Darrin Casper
381,Christina Lebsack,.91598429,amigo,2,brasileiro,,,+17769263335,Derrick Nicolas
382,Dwayne Little,939421554,"colega ",2,"portuguesa ",,"gr�vida ",+14832742799,Alton Watsica
383,Dr. Stewart Connelly,925904702,amigos,4,"Brasileiros ",,Areias S. Vicente,+16576413515,Margaret Wiegand
384,Opal Crist,929392545,amiga,4,brasileiro,,,+15759680542,Herman Frami
385,Luke Collins,936799704,amigos,,,,,+19902932919,Johnnie Beer
386,Dr. Ignacio Bednar,934640398,Amiga,1,"Colombiano ",,,+14377099585,Willard Bogan
387,Jeanette Champlin,934640398,Evelyn,,Columbiano,,,+14773783625,Madeline Mills
388,Sue Hansen,934731248,amiga,4,Angolana,,meninos 4 e 8,+12577702864,Florence Deckow
389,Ms. Delores Mohr,914176648,S� de Miranda,5,Indiana,,,+13436107202,Mr. Ted Beatty
390,Bernard White,,Palmira,4,"Portugu�s ",neta 5,,+12047605079,Andy Oberbrunner
391,Caleb Veum,915298566,Colegas,1,Espanha,,,+18363174107,Iris Kiehn-Carroll Sr.
392,Carl Bayer II,962145923,Dra Helena VAP,,,,,+15744211015,Harry Kuhlman
393,Emma Leffler,937907650,,,Brasileiro,,,+13349129143,Nadine Donnelly V
394,Rudy Weissnat,910891158,Amiga,4,"Brasileira ",,boy14 girl 10,+14254621272,Winifred Funk
395,Desiree Harris,938375828,work colleague,,,,,+15543841784,Betsy McLaughlin
396,Kellie Dare,934943325,,,,,Avisados,+15275637592,Bonnie Lynch MD
397,Jonathon Jacobi,920066920,Alberto Sampaio,,,,,+16912279185,Garrett Aufderhar III
398,Elbert Schuppe,933151424,amiga,4,angolana,,,+15606001340,Dr. Lee Koepp
399,Mr. Van Rempel,920043962,,,Ucraniana,,,+13036897982,Jessie Christiansen
400,Alex Leuschke V,933056963,"Farhad//luisa Ferreira ",1,"Afeganist�o ",Quarto at� 300�,"� volunt�rio ",+18283706292,Ronald Goyette
401,Luis Klein,911837873,Junta Freguesia,3,brasileiros,,,+19549861680,Karen Dibbert
402,Brandi Stokes,921633539,amigo,2,,,,+14767954722,Dwayne Kulas
403,Elbert Hills DVM,939044560,amigo,3,peruana,,,+19468821569,Josh Hodkiewicz
404,Miss Alma Vandervort,939470166,FB,4,Portuguesa,,2 meninas 12 e 17,+18636974081,Cindy Beatty I
405,Dr. Austin Hoeger,933139543,Amiga,4,Brasileira,,,+17326606346,Ms. Kari Krajcik
406,Ronald Heidenreich,674361738,Primo,1,Espanhol,,,+16704156286,Susan Schaefer
407,Hugo Wilderman,935693904,Amiga,4,Nepal,,girl 8,+17553549041,Suzanne Krajcik
408,Charlotte Konopelski,935382404,,,Brasileiro,,"Amiga ",+15628373699,Connie Leuschke
409,Terri Hoppe-Lebsack DVM,933150340,Amiga,3,Angolana,,,+16204406047,Seth Fisher
410,Dianne Pacocha,933163904,"Amiga ",5,Brasileiros,,,+13235866598,Duane Welch
411,Renee Smith,935795193,FB,4,Marroquino,,boy 8 girl 3,+16799532267,Georgia Lakin
412,Inez Wunsch,910383244,,6,Congolesa,,,+15104358396,Dr. Maureen Purdy
413,Cassandra Collier,910226262,escola sampaio,3,colombianos,,,+15896121273,Melvin Wolf
414,Cory Barton,928090203,"colega ",1,Portuguesa,,,+12156263297,Marsha Rohan III
415,Eunice Schinner,938201745,Janaina,2,"Brasileiro ",,,+12842248216,Eileen Rempel
416,Jermaine Olson,920242140,friend,3,"Paquist�o ",,"Girl 1 Boy 16 ",+17337155296,Julio Conn PhD
417,Marsha Runolfsdottir,936256379,"Amiga ",4,"Brasileiros ",,,+15514368722,Willie Ebert
418,Geneva McLaughlin,933938297,,,,,,+15719424167,Theresa Abernathy
419,Brandi Graham,964742817,"Irma shoping ",1,"brasileira ",,,+19276801811,Dr. Caleb Krajcik
420,Mr. Clinton Lueilwitz,910130514,amiga,4,,,,+14813085059,Randall Williamson
421,Nick Metz,,"internet ",3,"s�o Tom� ",,menino 1 ano,+17259234641,Dr. Juanita Baumbach
422,Rudolph Johns MD,920092766,yudi,3,"Nepal ",,bebe 2 meses,+14399090952,Pete Koelpin
423,Eric Terry PhD,939141333,"colegas de trabalho ",2,brasileira,,,+18062566422,Mrs. Anne Feest
424,Dennis Metz,939141333,Amiga,2,"Brasileira ",,2 ADULTAS,+17215818073,Geoffrey Blanda
425,Carmen Grant,935284829,k37,1,Portuguesa,,,+14759567913,Charlene Kovacek V
426,Dave Hauck-Considine,967464700,escola de Maximinos,1,brasileira,,,+13868599475,Josh Reinger
427,Danielle Cummings-Schroeder,964533199,Virar a p�gina,3,portuguesa,,,+18396526876,Dean Gutkowski-Gleason
428,Jan Hermiston,960007451,amigo,3,brasileira,,girl 10,+13512098604,Heather Hoppe
429,Sue Kemmer,,,,argilinos,,,+18573439104,Victor Keeling II
430,Matthew Reichel MD,920398621,Amigas,2,Brasileira,,,+14367277524,Carlos Kohler
431,Luther Carter,913786098,"Facebook doar e trocar ",3,"Brasileira ",,,+17335696810,Dr. Janet Langosh
432,Henry Kulas,910447902,Colega keling,4,Brasileira,,,+13804282744,Ethel Nicolas
433,Philip Schmeler,929343421,Amiga,1,"Colombiana ",,,+19118102549,Bennie Stokes
434,Terri VonRueden,911841771,Padre de S�o Laz�ro,7,angolana,,,+12974650551,Rochelle Ullrich
435,Ms. Rachael Runte,925678938,"Facebook ",2,"Brasileira ",,,+13334916122,Mrs. Teresa Mills
436,Maria Doyle,912154772,Junta Freguesia,2,"Brasileiro ",,,+13147303589,Matthew Dooley
437,Sarah Windler,926313002,Junta,6,"Angolanos ",,girl 7 e 18 boy 11 e 15,+13919118238,Mr. Omar Larkin
438,Sharon Veum,912244887,Igreja Mac,7,Port./Ang.,Menina 3,"meninos 17, 11, 6",+17626919318,Mrs. Sonya Kunde
439,Hattie Senger,913311552,,4,Brasileira,,,+18716299730,Lynn Langworth
440,Phyllis Wisoky,927551828,Colega,4,Brasileiros,,,+16947131503,Angela Runolfsdottir
441,Kerry Ritchie,962545982,amigo,5,"Uruguai ",,,+15418719904,Johnathan Powlowski
442,Grady Murray,961432106,,,,,,+17903555225,Sheila Price
443,Steve Aufderhar,926846366,Colega,2,Brasileira,,Menino 11,+16733168103,Joseph Mueller
444,Melody Hettinger,910226235,Junta,5,Brasileira,,girl 1 boy 14,+15023960901,Philip Kunze
445,Dwight Balistreri,920337743,"Facebook ",2,"colombiano ",,,+15459773468,Debra Fisher
446,Mable Rath,914422072,"amiga ",3,Brasileiro,,,+19299794851,Guillermo Purdy-Deckow
447,Nichole Keebler,929243290,amiga,2,brasileira,,menino 10 anos,+17895834065,Terrence Predovic
448,Lee Koss,913977179,Sandra VaP,4,portugueses,Tem menina com problemas de saude,,+15954333808,Gabriel Batz IV
449,Gina Gusikowski,920548345,Amigos,1,"Ucraniano ",,,+19808740126,Vernon Kuhic
450,Anthony Considine,914238524,amiga,2,"brasileiros ",,,+18693046638,Ramona Wunsch
451,Kristine Gerhold,938670704,Ucranian chat,,Ucraniana,,,+13174514404,Blake Roberts PhD
452,Katherine Anderson I,932618101,Daiana,2,Brasil e Venez,,,+17183844789,Matthew Bins
453,Enrique Feil,935262023,"Facebook ",3,"Brasileira ",,,+15475144501,Stephanie Mayert Sr.
454,Loren Waters,913374220,amiga,3,Brasileiro,,menina 1a7m,+14969885751,Nick Ernser
455,Lorena Schiller,911508712,"Amigo ",1,"Brasileiro ",,,+15975256815,Jerald Auer
456,Miss Francis West,932806813,,,Brasileiro,,Amigos,+17727036949,Isabel Robel
457,Alexandra Heller,911179136,amigo,,,,,+19663811442,Dr. Marcia Heaney
458,Israel Boehm,935940804,amiga,4,angolana,faz muitos coment�rios,,+18264831983,Emily Schowalter
459,Sheldon Zboncak,963974583,Alberto Sampaio,,,,,+12602020045,Merle Glover-Schaden
460,Johanna Kuvalis,963474853,Farhad curso Port,,,,,+18337882146,Robin Nicolas
461,Naomi Sanford,912479186,amigo,1,brasileiro,,,+18688499855,Patsy Fritsch
462,Edwin Becker-Ortiz,938477948,Ucranian chat,2,Ucraniano,,"Tirou artigos hygienicos, com amigo",+13198633355,Judith Kihn
463,Darlene Corwin Sr.,930648734,,,Brasileiro,,,+16826024018,Loretta Jacobson
464,Oliver Prohaska,380685409253,,4,Ucraniana,,,+12335065706,Theresa Stoltenberg-Graham
465,April Skiles IV,916 649 938,Farhad/Telegram,2,Ucraniana,,menina 7 anos,+16853550828,Gilbert Sawayn
466,Krystal Hahn,927969833,"amigos ",3,S�ria,,,+19427642072,Martha Rogahn V
467,Sonja Parisian,926435922,"amigos ",2,"Fran�a ",,,+18419471241,Gwendolyn Satterfield
468,Jacob Hane-Davis,,amigos,5,"Brasileira ",,menina 5 e meninao 4,+13709294720,Mack Kozey
469,Felipe Hane,,cunhada,2,"Brasileira ",,,+17954204314,Ms. Caroline Farrell Jr.
470,Henry Langworth,913381944,amiga,4,"Brasileira ",,memina 7 e menina 12,+14507020831,Elbert Kuvalis
471,Ernesto Schuster-Thompson,,amigo,2,Portuguesa,,,+14329048524,Benjamin Gutmann
472,Nick Fadel,,amigo,2,"Portugu�s ",,,+18233842725,Tyler Dietrich
473,Barry King,964561774,"redes sociais ",4,"Ucr�nia ",,"menino 8, menina 7 e menina 4",+17169026581,Miss Lola Wehner
474,Christopher Gutkowski,43739412,"projeto ",1,"Guatemala ",,,+18572532467,Sandy Becker
475,Mercedes Waters,966816646,"par�quia ",4,"brasileira ",,menino 5 e 2 anos,+16855323141,Alicia D'Amore
476,Joanne Towne DVM,964432371,"colega de trabalho ",7,"portuguesa ",,menino 4 anos,+17903848353,Rosemarie Jacobi
477,Dana Lesch,932388771,"Volunt�ria Karina ",5,"brasileira ",,"irm� com mobilidade reduzida ",+15568471117,Eva Franecki Jr.
478,Cary Dooley,937049854,"Volunt�ria Karina ",2,"columbiano ",,,+12379175863,Julie Leffler-Ferry
479,Carrie Smitham,928142653,"fam�lia ",3,"brasileira ",,menina 4 anos,+12036686622,Rogelio Lueilwitz
480,Jessie Gislason,938847250,"fam�lia ",2,"Guin� ",,,+18988616840,Dr. Ronnie Langosh
481,Sophie Wehner,966702342,amiga,1,"cabo ",,,+14389811455,Miss Stacy Nitzsche
482,Dr. Nicolas Luettgen,935637090,Farahd,5,cabo,,,+17209167290,Karla Grimes
483,Danny Leuschke,920378652,"amigos ",4,"colombiano ",,,+12866745924,Ms. Joann Hickle
484,Delores Bergnaum V,962982039,"amiga ",3,"brasileira ",,menina 8 anos,+16617977580,Brenda Lehner
485,Christie Yost,914708868,F�tima - beneficiaria,1,portuguesa,,,+16847757564,Jason Becker
486,Monica Grimes,920335883,fatima - beneficiaria,5,"Guin� ",,,+14142830869,Marianne Ratke
487,Herbert Labadie,964817256,vap,,"portugu�s ",,buscar roupa para beneficiario,+14623278927,Miranda Littel
488,Kristopher Beatty III,932530071,amigos,1,,,,+13956423664,Wendy Wiza
489,Jean Christiansen,936535557,junta freguesia,3,Brasileira,,menina 3 anos,+19706239917,Morris Schuppe
490,Dale Koss,938631691,"junta freguesia ",3,brasileiro,,1 anos,+18628778994,Tammy Jakubowski-Hudson
491,Beth Ruecker,964702342,,,"Franc�s ",,,+13836593553,Lena Oberbrunner
492,Eugene Wolf,927684412,"Said ",1,,,,+17863132258,Dr. Hazel Cronin
493,Delbert Luettgen,966466324,amiga,4,"brasileira ",,,+12086430248,Mamie Metz
494,Marguerite Hagenes,937327312,amiga,5,"brasileira ",,,+18904542700,Chad Hodkiewicz
495,Gustavo Lockman,923170039,amigos,4,"Camer�es ",,,+15212531270,Terence Schoen
496,Stephen Hagenes,911835179,amiga,1,"Brasileiro ",,,+17327224467,Deborah Adams-Cole
497,Wilson Wilkinson,962575315,Pedro - VaP,2,"portugueses ",,,+16664014662,Simon Kuphal Sr.
498,Roxanne King Sr.,931750152,amiga,4,brasileiro,,,+13076381808,Charlene Upton I
499,Calvin Schultz,925549957,"amigos ",1,"brasileiro ",,,+16312451064,Ms. Gail Marvin
500,Earl Schultz,925567760,"amigos ",2,brasileiros,,"sobrinho ",+14486659619,Rita Donnelly
501,Silvia Hayes,920497359,cunhada,4,brasileiros,,,+13903820102,Diane Wuckert
502,Ruby Aufderhar,937927108,amigos,5,brasileira,,,+15888191783,Muriel Hansen
503,Maria Herman IV,927324784,"amigo ",1,portuguesa,,,+13066163282,Jorge Gislason I
504,Nick Koss,965768067,"amigos ",1,"portugu�s ",,,+12994005676,Louise Champlin
505,Linda Franey,931843689,"vizinha ",3,caman,,,+14034313551,Frances Lubowitz IV
506,Miss Rosalie Lubowitz,961395829,"irm� ",4,"Angolana ",,,+15983117342,Pam Mraz IV
507,Cecelia Bosco,,"junta de freguesia ",5,"Bulg�ria ",,,+13579735491,Kara Emard IV
508,Lionel Emmerich-Swaniawski,,amiga,1,"cabo-verdiana ",,,+14658194949,Lydia Smith
509,Eloise O'Reilly,,,,,,,+18572101123,Sabrina Marquardt
,Elsa Schulist,,,,,,,+14155310402,Elaine Beahan
